Course Number,Course Title,Description,Terms Offered,Equivalent Courses,Prerequisites,Instructors
ANTH 10100,Introduction to Anthropology. 100 Units.,"Classically defined as the 'science of humankind' or the 'study of human diversity', anthropology examines how people organize themselves into groups and relate to the environment through their cultural beliefs and practices. Students will be introduced to the types of arguments, questions, and problems that have driven anthropological thinking, and to the discipline's unique focus on intensive fieldwork methodologies that span ethnography, archaeology, linguistics, and even biology. We will examine how anthropologists have historically studied topics like belief, kinship, ritual, politics, exchange, and material culture in the non-western world in order to unsettle western norms and assumptions. And we will explore how post-colonial critiques and indigenous perspectives have redefined the discipline in the twenty-first century. Students will learn how anthropologists are today contributing to solving complex global problems, from climate change to economic inequality, racism, violence, immigration, health disparities, political technologies, and the effects of social media. This course serves as a sampler for those curious about the field and it fulfills a basic requirement for those pursing the Anthropology major or minor. Offered at least once yearly by rotating faculty who will provide their unique take on the discipline.",,,Designed as a first course in Anthropology,Staff
ANTH 10107,Nature and Technology in the Capitalist Mode of Production. 100 Units.,"The crisis of nature and technology is at the heart of the 21st century mode of production as unprecedented planetary scale ecological destruction, climate change, and exhaustion of fossil fuels undercut the dynamics of capitalist accumulation. At the same time, novel techno-natural fixes are being designed to contain the crises immanent to the life process of capital. However, these movements are far from seamless; new tensions, contradictions, and horizons of struggles emerge making a critical inquiry of these concepts urgent to Anthropological thinking. In this course, the students will be introduced to foundational approaches to these problems. The first half of the course will intensively engage with dialectical materialist frameworks to understand the interrelationship between nature, technology, and consciousness in the capitalist mode of production. From this engagement, we will derive critical concepts that will be used to engage with the pertinent questions of planetary scale appropriation of human, non-human and more-than-human life in emergent anthropological theory and ethnographic literature. In doing so, our goal is to reflect on a series of questions: What is the place of nature and technology in the capitalist mode of production? How and if they embody limits to the workings of capital? How does anthropology allow us to develop new political and theoretical horizons that emerge in the wake of these developments?",,"CEGU 20107, HIPS 20107",,Ashima Mittal
ANTH 10200,Latin America in/at Chicago. 100 Units.,"This course explores the city of Chicago's Latin American and Caribbean roots by considering hemispheric connections, both in the city at large and at the University of Chicago. Students will analyze 1) the ways Latin(e/x) American actors have participated in and shaped Chicago's political economy, 2) how Latin(e/x)s on both sides of the US-Mexico border have impacted and been impacted by social thought at the University of Chicago, 3) the collection and display of Latin American material culture in several of the city's museums, and 4) Latin(e/x) American civil and human rights activism in the city. The course will move through the city chronologically as well as geographically over the long twentieth century.","Spring. Offered irregularly in Spring as part of Chicago Studies CIV sequence ""Latin America/Latinx Chicago""","CEGU 10200, RDIN 10200, CHST 10200, LACS 10200, HIST 17910",,"Schwartz-Francisco, Diana"
ANTH 10201,Immigrant Chicago. 100 Units.,"Since the early 1900's, thousands of Latin Americans have made Chicago their home. Today, approximately one-third of Chicagoans trace their roots to Latin America. These significant demographic flows raise critical questions: Why have Latin Americans moved to Chicago? How have they adapted to the city? How have they influenced it? This course will expose students to the latest social science research on contemporary immigration with a strong focus on Latinos in Chicago. We will explore its origins, adaptation patterns, and long-term effects on our city. To explore the Latino experience in Chicago, the course will focus on three communities: Mexicans, Puerto Ricans, and Venezuelans. These three groups migrated to Chicago during distinct periods, with Mexicans arriving in the early 1900s, Puerto Ricans in the 1940s, and Venezuelans in 2023. This temporal variation will enable us to investigate how the evolving social, economic, and political conditions in Chicago have influenced immigrants' experiences.","Spring. Offered irregularly in Spring as part of Chicago Studies CIV sequence ""Latin America/Latinx Chicago""","RDIN 10201, CEGU 10201, CHST 10201, LACS 10201",,"Flores, René"
ANTH 10202,Latinx Arts in Chicago. 100 Units.,"This course is an overview of the Latinx arts in Chicago. It explores artworks and artmaking as documents and critical fictions created in response to the social realities of urban Latinx populations in the U.S. and in Chicago in particular. It challenges students to think about (Latinx) art and the humanities under two modalities: as privileged arenas for understanding experience and exploring the values that guide a society, and as economic engines and instruments of political intervention. The course pursues these objectives though the study of the Latinx arts in Chicago, and through immersive engagements with local institutions where Latinx art operates (as historical object, as tool for social change, as fruit and seed of creative process, as instrument for economic development). Using the work of Latinx artists, curators, filmmakers, and other cultural brokers based in Chicago, the course studies artworks in the context of the social realities that gave rise to these works.","Spring. Offered irregularly in Spring as part of Chicago Studies CIV sequence ""Latin America/Latinx Chicago""","CHST 10202, CEGU 10202, RDIN 10202, LACS 10202",,"Delgado Moya, Sergio"
ANTH 10536,How Societies Work (or Don't) 100 Units.,"How do societies work? Why do they so often seem to break down and fail? Should we even expect societies to ""work"" as cohesive entities, or should we assume that they are always rife with conflict, inequality and power struggles? In in this class, we will address these and other questions by taking a deep dive into different schools of social thought: materialism, which sees the production of goods and services as the force that shapes social organization; structural functionalism, which argues that society's various parts work together to strengthen social cohesion; social action theory, which argues values, worldviews and social institutions (e.g. religion and family) shape individual activities; symbolic interactionism, which focuses on micro-relationships; and, finally, post-modernism, which avoids any over-arching theory of society. Through these explorations, we will also address topics such as race, class, gender, technology, capitalism and modernity. Our readings will include works by Karl Marx, Emile Durkheim, Max Weber, George Herbert Meade Michel Foucault, Pierre Bourdieu, Judith Butler and others.",Summer,,,
ANTH 12800,Formations of Indigeneity. 100 Units.,"Whose land are we on? What does it mean to be Indigenous, for generations past and in the twenty-first century? From debates over claims of Indigenous ancestry by political actors to the struggles of sacred lands protection against natural resource extraction, understanding the stakes of these concerns for Indigenous peoples and nations is more relevant than ever. This seminar-part of the sequence for majors in the Department of Race, Diaspora, and Indigeneity-introduces students to core texts and concepts in the field of Native American and Indigenous Studies (NAIS). Topics will include sovereignty and governance, settler colonialism, citizenship and nationhood, blood quantum and racialization, diasporas and urban indigeneity, and relationships to land and environment. Course activities may include engagement with Indigenous films, dialogues with visiting Indigenous scholars, and field trips to Chicago-area cultural institutions.",Winter,"CHST 12300, RDIN 12300, CRES 12800, HIST 17800",,Matthew Kruer
ANTH 20006,Embodiment and the Senses. 100 Units.,"This course approaches bodies as points of insight into governance, the varied experiences of being governed, and efforts to evade and reconfigure institutional expressions of authority. First, we will examine bodies as targets of governance, objects to be reformed, regulated, contained, disciplined, educated, incarcerated, treated, trained, and ""cared"" for. Next, we will consider how bodies accrue power as sites of resistance, refusal, and critique. Certain bodies in certain places elicit discomfort, unsettling familiar divisions such as of private and public space, of developed and backward, of religious and secular, of reason and madness, of citizenship and (often racialized) non-citizenship. Finally, we will ask how bodies and sensory practices figure in ethical projects of crafting exemplary kinds of subjectivity or collectivity. In this way, the course will introduce students to anthropological approaches to embodiment as well as related questions of bio-politics, gender and race, political subjectivity, care and self-making, post/colonialism, sensory politics and the aesthetic. Along the way, students will gain a new appreciation of the political potency of bodies and bodily practices near and far-from Lenin's preserved body to Trump's ""small"" hands, reproductive labor to sex work, dirty protest to women's marches, indigenous eco-rituals to queer intimacies.",,"RLST 26006, GNSE 24006",,Mareike Winchell
ANTH 20012,Gender Archaeology. 100 Units.,"How have archaeologists approached the study of gendered practices, and can their work contribute to theoretical and methodological discussions of gender across the social sciences and humanities? How can we use material objects and things to examine or explain gendered identities, especially in the deep past? In this course, students will engage with a range of research, from different disciplinary perspectives, to explore how gender is situated in archaeological theory and praxis and its political implications. Through multiple case studies, the course will interrogate how archaeologists study, analyze, and interpret material remains to examine gendered ideologies and material practices and their intersections with other social constructs: class, sex, race, ethnicity. Coverage is cross-cultural and aims to expose students to the diversity and variability of gendered and sexual experiences of different people across time and space. Topics include but are not limited to: embodiment and expression, gender roles, sexuality, parenthood and childhood, masculinity, biopolitics, and feminist theory.",,"SIGN 20147, ANTH 30012, CLAS 33024, GNSE 30147, GNSE 20147, CLCV 23024",,Alice Yao and Katie Kearns
ANTH 20013,Canine Kinship: Dogs in Human Societies. 100 Units.,"This course takes a four-field anthropological approach to exploring the multifaceted relationships between dogs and humans across time and space. We will read ethnographic accounts of the various ways dogs have lived and worked in human societies, some of which trouble the ideal of ""best friend"" with which many students may be most familiar; other readings will suggest that human societies would not be what they are today if not for myriad canine contributions. Through discussions of these texts and intermittent lectures, this seminar style class will explore how humans and dogs have worked, guarded, bonded, patrolled, communicated, stratified, lived, loved and died together. Students will produce original term papers or projects at the end of the course, as well as actively participate in and periodically co-lead weekly seminar discussions.",,,,E. Summmerson Carr
